process,process description,parameter,value,unit,description,
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedULS_P,Using output from proces [CalVSALG15          ],NOUNIT,sedimentation velocity algae type 15
SEDALG14,Sedimentation of algae species 14,ULVAS_N,Using substance nr  27,NOUNIT,concentration of algae type 14
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedULS_N,Using output from proces [CalVSALG14          ],NOUNIT,sedimentation velocity algae type 14
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedULS_N,Using output from proces [CalVSALG14          ],NOUNIT,sedimentation velocity algae type 14
SEDALG13,Sedimentation of algae species 13,ULVAS_E,Using substance nr  26,NOUNIT,concentration of algae type 13
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedULS_E,Using output from proces [CalVSALG13          ],NOUNIT,sedimentation velocity algae type 13
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedULS_E,Using output from proces [CalVSALG13          ],NOUNIT,sedimentation velocity algae type 13
SEDALG12,Sedimentation of algae species 12,PHAEOCYS_P,Using substance nr  24,NOUNIT,concentration of algae type 12
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedPHA_P,Using output from proces [CalVSALG12          ],NOUNIT,sedimentation velocity algae type 12
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedPHA_P,Using output from proces [CalVSALG12          ],NOUNIT,sedimentation velocity algae type 12
SEDALG11,Sedimentation of algae species 11,PHAEOCYS_N,Using substance nr  23,NOUNIT,concentration of algae type 11
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedPHA_N,Using output from proces [CalVSALG11          ],NOUNIT,sedimentation velocity algae type 11
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedPHA_N,Using output from proces [CalVSALG11          ],NOUNIT,sedimentation velocity algae type 11
SEDALG10,Sedimentation of algae species 10,PHAEOCYS_E,Using substance nr  22,NOUNIT,concentration of algae type 10
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedPHA_E,Using output from proces [CalVSALG10          ],NOUNIT,sedimentation velocity algae type 10
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedPHA_E,Using output from proces [CalVSALG10          ],NOUNIT,sedimentation velocity algae type 10
SEDALG09,Sedimentation of algae species 9,DINOFLAG_P,Using substance nr  15,NOUNIT,concentration of algae type 9
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedDIN_P,Using output from proces [CalVSALG09          ],NOUNIT,sedimentation velocity algae type 09
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedDIN_P,Using output from proces [CalVSALG09          ],NOUNIT,sedimentation velocity algae type 09
SEDALG08,Sedimentation of algae species 8,DINOFLAG_N,Using substance nr  14,NOUNIT,concentration of algae type 8
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedDIN_N,Using output from proces [CalVSALG08          ],NOUNIT,sedimentation velocity algae type 08
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedDIN_N,Using output from proces [CalVSALG08          ],NOUNIT,sedimentation velocity algae type 08
SEDALG07,Sedimentation of algae species 7,DINOFLAG_E,Using substance nr  13,NOUNIT,concentration of algae type 7
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedDIN_E,Using output from proces [CalVSALG07          ],NOUNIT,sedimentation velocity algae type 07
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedDIN_E,Using output from proces [CalVSALG07          ],NOUNIT,sedimentation velocity algae type 07
SEDALG06,Sedimentation of algae species 6,MFLAGELA_P,Using substance nr  21,NOUNIT,concentration of algae type 6
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedMFL_P,Using output from proces [CalVSALG06          ],NOUNIT,sedimentation velocity algae type 06
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedMFL_P,Using output from proces [CalVSALG06          ],NOUNIT,sedimentation velocity algae type 06
SEDALG05,Sedimentation of algae species 5,MFLAGELA_N,Using substance nr  20,NOUNIT,concentration of algae type 5
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedMFL_N,Using output from proces [CalVSALG05          ],NOUNIT,sedimentation velocity algae type 05
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedMFL_N,Using output from proces [CalVSALG05          ],NOUNIT,sedimentation velocity algae type 05
SEDALG04,Sedimentation of algae species 4,MFLAGELA_E,Using substance nr  19,NOUNIT,concentration of algae type 4
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedMFL_E,Using output from proces [CalVSALG04          ],NOUNIT,sedimentation velocity algae type 04
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedMFL_E,Using output from proces [CalVSALG04          ],NOUNIT,sedimentation velocity algae type 04
SEDALG03,Sedimentation of algae species 3,MDIATOMS_P,Using substance nr  18,NOUNIT,concentration of algae type 3
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedMDI_P,Using output from proces [CalVSALG03          ],NOUNIT,sedimentation velocity algae type 03
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedMDI_P,Using output from proces [CalVSALG03          ],NOUNIT,sedimentation velocity algae type 03
SEDALG02,Sedimentation of algae species 2,MDIATOMS_N,Using substance nr  17,NOUNIT,concentration of algae type 2
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedMDI_N,Using output from proces [CalVSALG02          ],NOUNIT,sedimentation velocity algae type 02
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedMDI_N,Using output from proces [CalVSALG02          ],NOUNIT,sedimentation velocity algae type 02
SEDALG01,Sedimentation of algae species 1,MDIATOMS_E,Using substance nr  16,NOUNIT,concentration of algae type 1
 , ,ZSedAlg,0.00000,(gC/m2/d),zeroth-order sedimentation flux algae
 , ,VsedMDI_E,Using output from proces [CalVSALG01          ],NOUNIT,sedimentation velocity algae type 01
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucS,0.100000,(N/m2),critical shear stress for sedimentation algae
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,VsedMDI_E,Using output from proces [CalVSALG01          ],NOUNIT,sedimentation velocity algae type 01
Sed_IM1,Sedimentation IM1,IM1,Using segment function nr  3,(gDM/m3),inorganic matter (IM1)
 , ,ZSedIM1,0.00000,(g/m2/d),zeroth-order sedimentation flux IM1
 , ,VSedIM1,Using output from proces [CalVS_IM1           ],(m/d),sedimentation velocity IM1
 , ,Tau,Using segment function nr  6,(N/m2),total bottom shear stress
 , ,TaucSIM1,0.100000,(N/m2),critical shear stress for sedimentation IM1
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,MinDepth,0.100000,(m),minimum waterdepth for sedimentation/resuspension
 , ,FrIM1SedS2,0.00000,(-),fraction sedimentation IM1 towards S2
 , ,FrTIMS2,0.00000,(gDM/gDM),fraction TIM in layer S2
 , ,FrTIMS2Max,1.00000,(gDM/gDM),maximum fraction TIM in layer S2 pick-up
 , ,PsedminIM1,0.00000,(-),minimum sedimentation probability
 , ,VSedIM1,Using output from proces [CalVS_IM1           ],(m/d),sedimentation velocity IM1
CalVSALG18,Sedimentation velocity ALG18 = f (Temp SS Sal),V0SedULF_P,0.00000,NOUNIT,sedimentation velocity algae type 18
 , ,SS,Using output from proces [Compos              ],(g/m3),suspended solids
 , ,CrSS,100.000,(gDM/m3),crit. susp. solid concentration for flocculation
 , ,nULF_P,0.00000,NOUNIT,coefficient in flocculation function algae type
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,TcSED,1.00000,(-),temperature coefficient for sedimentation
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SMax,5.00000,(g/kg),salinity at which salinity function is maximal
 , ,EnhSdAlg18,1.00000,(-),salinity enhanced settling factor algae type 18
CalVSALG17,Sedimentation velocity ALG17 = f (Temp SS Sal),V0SedULF_N,0.00000,NOUNIT,sedimentation velocity algae type 17
 , ,SS,Using output from proces [Compos              ],(g/m3),suspended solids
 , ,CrSS,100.000,(gDM/m3),crit. susp. solid concentration for flocculation
 , ,nULF_N,0.00000,NOUNIT,coefficient in flocculation function algae type
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,TcSED,1.00000,(-),temperature coefficient for sedimentation
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SMax,5.00000,(g/kg),salinity at which salinity function is maximal
 , ,EnhSdAlg17,1.00000,(-),salinity enhanced settling factor algae type 17
CalVSALG16,Sedimentation velocity ALG16 = f (Temp SS Sal),V0SedULF_E,0.00000,NOUNIT,sedimentation velocity algae type 16
 , ,SS,Using output from proces [Compos              ],(g/m3),suspended solids
 , ,CrSS,100.000,(gDM/m3),crit. susp. solid concentration for flocculation
 , ,nULF_E,0.00000,NOUNIT,coefficient in flocculation function algae type
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,TcSED,1.00000,(-),temperature coefficient for sedimentation
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SMax,5.00000,(g/kg),salinity at which salinity function is maximal
 , ,EnhSdAlg16,1.00000,(-),salinity enhanced settling factor algae type 16
CalVSALG15,Sedimentation velocity ALG15 = f (Temp SS Sal),V0SedULS_P,1.00000,NOUNIT,sedimentation velocity algae type 15
 , ,SS,Using output from proces [Compos              ],(g/m3),suspended solids
 , ,CrSS,100.000,(gDM/m3),crit. susp. solid concentration for flocculation
 , ,nULS_P,0.00000,NOUNIT,coefficient in flocculation function algae type 15
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,TcSED,1.00000,(-),temperature coefficient for sedimentation
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SMax,5.00000,(g/kg),salinity at which salinity function is maximal
 , ,EnhSdAlg15,1.00000,(-),salinity enhanced settling factor algae type 15
CalVSALG14,Sedimentation velocity ALG14 = f (Temp SS Sal),V0SedULS_N,1.00000,NOUNIT,sedimentation velocity algae type 14
 , ,SS,Using output from proces [Compos              ],(g/m3),suspended solids
 , ,CrSS,100.000,(gDM/m3),crit. susp. solid concentration for flocculation
 , ,nULS_N,0.00000,NOUNIT,coefficient in flocculation function algae type 14
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,TcSED,1.00000,(-),temperature coefficient for sedimentation
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SMax,5.00000,(g/kg),salinity at which salinity function is maximal
 , ,EnhSdAlg14,1.00000,(-),salinity enhanced settling factor algae type 14
CalVSALG13,Sedimentation velocity ALG13 = f (Temp SS Sal),V0SedULS_E,0.500000,NOUNIT,sedimentation velocity algae type 13
 , ,SS,Using output from proces [Compos              ],(g/m3),suspended solids
 , ,CrSS,100.000,(gDM/m3),crit. susp. solid concentration for flocculation
 , ,nULS_E,0.00000,NOUNIT,coefficient in flocculation function algae type 13
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,TcSED,1.00000,(-),temperature coefficient for sedimentation
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SMax,5.00000,(g/kg),salinity at which salinity function is maximal
 , ,EnhSdAlg13,1.00000,(-),salinity enhanced settling factor algae type 13
CalVSALG12,Sedimentation velocity ALG12 = f (Temp SS Sal),V0SedPHA_P,0.500000,NOUNIT,sedimentation velocity algae type 12
 , ,SS,Using output from proces [Compos              ],(g/m3),suspended solids
 , ,CrSS,100.000,(gDM/m3),crit. susp. solid concentration for flocculation
 , ,nPHA_P,0.00000,NOUNIT,coefficient in flocculation function algae type 12
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,TcSED,1.00000,(-),temperature coefficient for sedimentation
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SMax,5.00000,(g/kg),salinity at which salinity function is maximal
 , ,EnhSdAlg12,1.00000,(-),salinity enhanced settling factor algae type 12
CalVSALG11,Sedimentation velocity ALG11 = f (Temp SS Sal),V0SedPHA_N,0.500000,NOUNIT,sedimentation velocity algae type 11
 , ,SS,Using output from proces [Compos              ],(g/m3),suspended solids
 , ,CrSS,100.000,(gDM/m3),crit. susp. solid concentration for flocculation
 , ,nPHA_N,0.00000,NOUNIT,coefficient in flocculation function algae type 11
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,TcSED,1.00000,(-),temperature coefficient for sedimentation
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SMax,5.00000,(g/kg),salinity at which salinity function is maximal
 , ,EnhSdAlg11,1.00000,(-),salinity enhanced settling factor algae type 11
CalVSALG10,Sedimentation velocity ALG10 = f (Temp SS Sal),V0SedPHA_E,0.00000,NOUNIT,sedimentation velocity algae type 10
 , ,SS,Using output from proces [Compos              ],(g/m3),suspended solids
 , ,CrSS,100.000,(gDM/m3),crit. susp. solid concentration for flocculation
 , ,nPHA_E,0.00000,NOUNIT,coefficient in flocculation function algae type 10
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,TcSED,1.00000,(-),temperature coefficient for sedimentation
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SMax,5.00000,(g/kg),salinity at which salinity function is maximal
 , ,EnhSdAlg10,1.00000,(-),salinity enhanced settling factor algae type 10
CalVSALG09,Sedimentation velocity ALG09 = f (Temp SS Sal),V0SedDIN_P,0.00000,NOUNIT,sedimentation velocity algae type 09
 , ,SS,Using output from proces [Compos              ],(g/m3),suspended solids
 , ,CrSS,100.000,(gDM/m3),crit. susp. solid concentration for flocculation
 , ,nDIN_P,0.00000,NOUNIT,coefficient in flocculation function algae type 09
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,TcSED,1.00000,(-),temperature coefficient for sedimentation
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SMax,5.00000,(g/kg),salinity at which salinity function is maximal
 , ,EnhSdAlg09,1.00000,(-),salinity enhanced settling factor algae type 09
CalVSALG08,Sedimentation velocity ALG08 = f (Temp SS Sal),V0SedDIN_N,0.00000,NOUNIT,sedimentation velocity algae type 08
 , ,SS,Using output from proces [Compos              ],(g/m3),suspended solids
 , ,CrSS,100.000,(gDM/m3),crit. susp. solid concentration for flocculation
 , ,nDIN_N,0.00000,NOUNIT,coefficient in flocculation function algae type 08
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,TcSED,1.00000,(-),temperature coefficient for sedimentation
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SMax,5.00000,(g/kg),salinity at which salinity function is maximal
 , ,EnhSdAlg08,1.00000,(-),salinity enhanced settling factor algae type 08
CalVSALG07,Sedimentation velocity ALG07 = f (Temp SS Sal),V0SedDIN_E,0.00000,NOUNIT,sedimentation velocity algae type 07
 , ,SS,Using output from proces [Compos              ],(g/m3),suspended solids
 , ,CrSS,100.000,(gDM/m3),crit. susp. solid concentration for flocculation
 , ,nDIN_E,0.00000,NOUNIT,coefficient in flocculation function algae type 07
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,TcSED,1.00000,(-),temperature coefficient for sedimentation
 , ,Salinity,Using output from proces [VarSal              ],(g/kg),Salinity
 , ,SMax,5.00000,(g/kg),salinity at which salinity function is maximal
 , ,EnhSdAlg07,1.00000,(-),salinity enhanced settling factor algae type 07
